"","id","tvalue","pvalue","correlation","band","task","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"120","voc_F8_closed_ForgettingRate_UpperBeta",1.38374908738791,0.172836649019482,0.195858690780726,"UpperBeta","Vocabulary",1,0.645256823006068,1,0.997120948748304,0.997120948748304,1
"121","voc_T7_closed_ForgettingRate_UpperBeta",-0.409103201759629,0.68428367031368,-0.058946283984937,"UpperBeta","Vocabulary",1,0.906979539350676,1,0.997120948748304,0.997120948748304,1
"122","voc_T8_closed_ForgettingRate_UpperBeta",0.673402111283808,0.503921191362738,0.0967413246141287,"UpperBeta","Vocabulary",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"123","voc_P7_closed_ForgettingRate_UpperBeta",-0.136074900467875,0.89233116882954,-0.0196369329181019,"UpperBeta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"124","voc_P8_closed_ForgettingRate_UpperBeta",2.46650663394604,0.0172660204527323,0.33538935251824,"UpperBeta","Vocabulary",1,0.412983057485991,1,0.997120948748304,0.98028594168956,1
"125","voc_O1_closed_ForgettingRate_UpperBeta",0.963069654713622,0.340339474691365,0.137683270028153,"UpperBeta","Vocabulary",1,0.784613075038382,1,0.997120948748304,0.997120948748304,1
"126","voc_O2_closed_ForgettingRate_UpperBeta",1.95392048148566,0.056550990548599,0.271435957099907,"UpperBeta","Vocabulary",1,0.575791903767554,1,0.997120948748304,0.997120948748304,1
"127","loc_AF3_closed_ForgettingRate_UpperBeta",2.29085669453444,0.0264049080236496,0.313939652308878,"UpperBeta","Location",1,0.463062563476358,1,0.997120948748304,0.989117346569646,1
"128","loc_AF4_closed_ForgettingRate_UpperBeta",2.49376919106827,0.0161379448579015,0.338673304294653,"UpperBeta","Location",1,0.412983057485991,1,0.997120948748304,0.979139408424426,1
"129","loc_F3_closed_ForgettingRate_UpperBeta",1.83357915731102,0.0729209058246049,0.255846009401104,"UpperBeta","Location",1,0.583519316190596,1,0.997120948748304,0.997120948748304,1
"130","loc_F4_closed_ForgettingRate_UpperBeta",2.09656921246861,0.0413264364464494,0.289642164840385,"UpperBeta","Location",1,0.54547120517157,1,0.997120948748304,0.997120948748304,1
"131","loc_FC5_closed_ForgettingRate_UpperBeta",1.07371417412538,0.288319043210372,0.153149040605392,"UpperBeta","Location",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"132","loc_FC6_closed_ForgettingRate_UpperBeta",1.95504252191887,0.0564145601751594,0.271580335975964,"UpperBeta","Location",1,0.575791903767554,1,0.997120948748304,0.997120948748304,1
